NEW_JOB_RELEASED, task 1, job 1, at cycle: 394137.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 1, at cycle: 394255.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 1, at cycle: 394426.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 1, at cycle: 394442.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 1, at cycle: 394458.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 1, at cycle: 394467.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 1, at cycle: 394547.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 1, at cycle: 394550.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 1, at cycle: 394629.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 1, at cycle: 394632.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 1, at cycle: 394668.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 1, at cycle: 394677.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 1, at cycle: 394702.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 1, at cycle: 394792.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 1, at cycle: 394795.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 1, at cycle: 394828.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 1, at cycle: 394830.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 1, at cycle: 394949.000000
NEW_JOB_RELEASED, task 2, job 1, at cycle: 491714.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 1, at cycle: 491807.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 1, at cycle: 491898.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 1, at cycle: 491913.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 1, at cycle: 491932.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 1, at cycle: 491938.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 1, at cycle: 491997.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 1, at cycle: 491999.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 1, at cycle: 492021.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 1, at cycle: 492023.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 1, at cycle: 492077.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 1, at cycle: 492080.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 1, at cycle: 492163.000000
NEW_JOB_RELEASED, task 1, job 2, at cycle: 511100.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 2, at cycle: 511202.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 2, at cycle: 511287.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 2, at cycle: 511301.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 2, at cycle: 511320.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 2, at cycle: 511326.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 2, at cycle: 511405.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 2, at cycle: 511408.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 2, at cycle: 511427.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 2, at cycle: 511429.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 2, at cycle: 511453.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 2, at cycle: 511461.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 2, at cycle: 511485.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 2, at cycle: 511546.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 2, at cycle: 511548.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 2, at cycle: 511616.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 2, at cycle: 511618.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 2, at cycle: 511702.000000
NEW_JOB_RELEASED, task 1, job 3, at cycle: 628103.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 3, at cycle: 628188.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 3, at cycle: 628264.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 3, at cycle: 628277.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 3, at cycle: 628293.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 3, at cycle: 628298.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 3, at cycle: 628366.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 3, at cycle: 628368.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 3, at cycle: 628385.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 3, at cycle: 628387.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 3, at cycle: 628410.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 3, at cycle: 628418.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 3, at cycle: 628438.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 3, at cycle: 628490.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 3, at cycle: 628492.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 3, at cycle: 628547.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 3, at cycle: 628549.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 3, at cycle: 628621.000000
NEW_JOB_RELEASED, task 2, job 2, at cycle: 706296.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 2, at cycle: 706393.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 2, at cycle: 706481.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 2, at cycle: 706495.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 2, at cycle: 706513.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 2, at cycle: 706521.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 2, at cycle: 706579.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 2, at cycle: 706582.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 2, at cycle: 706599.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 2, at cycle: 706601.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 2, at cycle: 706606.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 2, at cycle: 706609.000000
